Geographic Area Name,sex_age_pop,sex_age_pop_male,sex_age_pop_female,sex_age_pop_under_5,sex_age_pop_5_to_9,sex_age_pop_10_to_14,sex_age_pop_15_to_19,sex_age_pop_20_to_24,sex_age_pop_25_to_34,sex_age_pop_35_to_44,sex_age_pop_45_to_54,sex_age_pop_55_to_59,sex_age_pop_60_to_64,sex_age_pop_65_to_74,sex_age_pop_75_to_84,sex_age_pop_85_and_over,sex_age_median_age_in_years
"Upshur County, Texas",40769,20224,20545,2548,2901,2728,2726,2278,4367,4722,5383,3256,2762,4092,2359,647,40.9
"Wharton County, Texas",41551,20395,21156,2827,2904,3245,3010,2643,5060,4611,5087,3087,2310,3729,2131,907,37.2
"Borden County, Texas",665,346,319,90,17,30,42,23,90,61,58,43,38,105,49,19,42.5
"Marion County, Texas",10083,4915,5168,435,536,554,606,379,911,1016,1367,851,884,1500,896,148,50.1
"Grayson County, Texas",128560,62737,65823,8066,8267,9100,8466,7771,15528,15026,16509,9361,8176,13191,6592,2507,39.9
"Palo Pinto County, Texas",28317,13987,14330,1726,2011,1744,1969,1562,3300,2985,3629,1813,2159,3122,1735,562,40.5
"DeWitt County, Texas",20435,10577,9858,1302,1378,1134,1190,879,2446,2839,2488,1412,1437,2101,1293,536,40.9
"Callahan County, Texas",13770,6763,7007,733,799,1118,848,635,1520,1474,1825,1035,1032,1565,927,259,42.9
"Gregg County, Texas",123494,60208,63286,9322,9310,8434,8245,8595,17098,14731,14571,8105,6878,10055,5425,2725,35.4
"Lubbock County, Texas",301454,148631,152823,20437,19739,20780,25447,37594,44283,34465,31396,16549,14674,20375,11331,4384,30.7
"Kaufman County, Texas",118910,58360,60550,8545,8799,9932,8701,6654,15677,16626,15891,7933,6116,8585,4244,1207,35.6
"Floyd County, Texas",5872,2885,2987,381,386,517,407,358,681,733,583,383,346,573,366,158,36.9
"Chambers County, Texas",40292,20377,19915,2794,3250,3140,3022,2524,5286,5489,5660,2550,2169,2831,1201,376,35.4
"Bell County, Texas",342236,170918,171318,29639,26525,24832,23615,30780,58312,43827,37066,17650,14791,21108,9933,4158,30.8
"Hutchinson County, Texas",21571,10797,10774,1424,1718,1444,1501,1343,2634,2713,2477,1415,1515,1902,1151,334,37.3
