Geographic Area Name,race_pop,race_pop_hispanic_or_latino_of_any_race,race_pop_white_alone,race_pop_black_or_african_american_alone,race_pop_american_indian_and_alaska_native_alone,race_pop_asian_alone,race_pop_native_hawaiian_and_other_pacific_islander_alone,race_pop_some_other_race_alone,race_pop_two_or_more_races
"Allegany County, New York",47025,744,44391,639,133,523,12,66,517
"Cattaraugus County, New York",77686,1605,70425,1224,2289,648,0,61,1434
"Schenectady County, New York",154883,10707,113649,14824,319,6967,66,3064,5287
"Yates County, New York",25009,549,23686,207,16,189,7,55,300
"Lake County, California",64148,12830,45623,1426,2090,642,30,142,1365
"Mariposa County, California",17540,1909,14125,166,390,243,54,20,633
"Yuba County, California",75493,20990,42085,2340,643,4977,292,126,4040
"Contra Costa County, California",1133247,288101,502951,93683,2376,182135,5251,3829,54921
"Lassen County, California",31185,5834,20528,2695,847,436,205,22,618
"Santa Barbara County, California",443738,200060,199356,7881,1407,22996,482,604,10952
"Sonoma County, California",501317,132985,318237,7192,2068,19720,1406,2501,17208
"Imperial County, California",180216,151019,19773,3906,1076,2376,307,120,1639
"Mono County, California",14174,3866,9234,40,342,336,0,80,276
"Alameda County, California",1643700,369061,523391,172329,5288,483067,13192,4977,72395
"Sacramento County, California",1510023,347025,682500,144003,5469,231740,16335,6086,76865
"Napa County, California",140530,47687,74159,2764,326,11210,264,516,3604
"Monterey County, California",433212,252588,131238,10606,1046,23647,1963,530,11594
"Sierra County, California",2930,324,2567,6,25,0,0,0,8
"San Diego County, California",3302833,1106925,1515380,155536,12282,382336,12811,6366,111197
"Yolo County, California",214977,67809,101274,5215,533,29360,919,258,9609
"Humboldt County, California",135768,15360,101305,1342,5919,4049,369,258,7166
"Alpine County, California",1146,105,678,9,294,8,0,0,52
"Mendocino County, California",87422,21679,57314,511,2839,1667,170,180,3062
"Santa Cruz County, California",273765,91676,157540,2359,360,12116,168,554,8992
"Los Angeles County, California",10098052,4893603,2659052,795505,20307,1451560,24821,29924,223280
"Riverside County, California",2383286,1154517,856468,144503,10064,147706,5846,5345,58837
"Santa Clara County, California",1922200,495455,615912,45379,3003,685265,6231,4743,66212
"Marin County, California",260295,41335,185809,5597,435,14815,292,2453,9559
"Siskiyou County, California",43540,5336,33390,619,1283,671,120,33,2088
"Shasta County, California",179085,17605,143575,2140,4014,5326,182,151,6092
"Del Norte County, California",27424,5340,17172,758,1841,937,17,128,1231
"Glenn County, California",27897,11504,14507,223,414,820,17,0,412
"Butte County, California",227075,36358,164390,3303,1738,9900,341,406,10639
"Plumas County, California",18699,1629,15571,194,387,200,41,126,551
"San Luis Obispo County, California",281455,63002,194574,4912,1363,9924,258,244,7178
"Kern County, California",883053,465842,307030,45053,4202,40273,1153,1039,18461
"Orange County, California",3164182,1080195,1296036,50412,6348,629637,8541,5881,87132
"Calaveras County, California",45235,5297,36905,299,374,568,126,52,1614
"Sutter County, California",95872,29354,44769,1793,676,14532,367,211,4170
"San Mateo County, California",765935,189002,303047,16838,1151,212474,10272,2476,30675
"Tuolumne County, California",53932,6527,43364,880,747,732,125,40,1517
"San Joaquin County, California",732212,301256,237887,49926,1536,110164,3959,1069,26415
"Amador County, California",37829,5132,29763,749,270,466,69,10,1370
"Merced County, California",269075,158494,76008,8038,840,19487,556,501,5151
"Modoc County, California",8938,1292,6962,149,291,130,6,4,104
"Inyo County, California",18085,3927,11389,160,1944,289,35,28,313
"Stanislaus County, California",539301,245973,229796,14338,2600,28599,3711,908,13376
"Tehama County, California",63373,15623,43539,420,1013,964,17,24,1773
"San Benito County, California",59416,35248,20780,434,193,1705,79,84,893
"El Dorado County, California",186661,23631,145990,1432,939,8237,396,184,5852
"San Francisco County, California",870044,132651,353670,43619,1363,294846,2694,4163,37038
"Tulare County, California",460477,295149,133617,5870,2769,14800,584,877,6811
"Nevada County, California",99092,9281,84470,601,570,989,154,130,2897
"Madera County, California",155013,88806,53531,4835,1504,3047,136,443,2711
"Trinity County, California",12862,930,10607,87,574,179,158,27,300
"San Bernardino County, California",2135413,1127813,623262,168864,7409,145652,6037,4085,52291
"Placer County, California",380077,52498,278380,5868,1244,27196,576,403,13912
"Solano County, California",438530,114406,168870,59500,1258,65994,3928,1288,23286
"Colusa County, California",21464,12655,7672,277,159,324,53,30,294
"Kings County, California",150075,81154,49058,8784,1227,5737,285,204,3626
"Fresno County, California",978130,515907,291455,44474,4458,97991,1104,1864,20877
"Ventura County, California",848112,360017,388301,13677,2299,60242,1406,1016,21154
"Okaloosa County, Florida",200737,18118,148420,18978,937,5887,292,455,7650
"Taylor County, Florida",22098,937,15917,4826,75,80,34,84,145
"Washington County, Florida",24566,887,19034,3747,296,149,112,17,324
"Duval County, Florida",924229,86184,494360,269513,1766,42474,668,3110,26154
"Bradford County, Florida",26979,1068,19990,5326,101,158,0,28,308
"Brevard County, Florida",576808,57695,431690,55699,1577,13522,492,1722,14411
"Clay County, Florida",207291,20037,152228,20242,205,6016,100,780,7683
"Lafayette County, Florida",8744,1263,5806,1339,13,0,187,0,136
"Lake County, Florida",335362,50061,236868,33118,1234,6445,201,1324,6111
"Nassau County, Florida",80578,3257,70385,4816,274,821,0,40,985
"Pinellas County, Florida",957875,90359,711722,95859,2188,31613,905,2948,22281
"Polk County, Florida",668671,143958,401087,98050,1816,11148,298,1758,10556
"St. Lucie County, Florida",305591,56661,177179,59731,675,5681,244,425,4995
"Glades County, Florida",13363,2790,8053,1762,516,54,0,12,176
"Hendry County, Florida",40127,21219,13127,4407,571,324,0,87,392
"Indian River County, Florida",150984,18512,114195,13317,228,1929,58,76,2669
"Jackson County, Florida",48472,2314,31672,13007,302,134,58,90,895
"Palm Beach County, Florida",1446277,316016,799770,262376,1137,38372,465,5586,22555
"St. Johns County, Florida",235503,15749,195806,12445,585,6378,175,250,4115
"Seminole County, Florida",455086,94168,279063,48821,723,19749,257,2069,10236
"Miami-Dade County, Florida",2715516,1845646,365131,436864,2321,41372,590,7370,16222
